Key,press_time,release_time,platform_ids,session_id,user_ids
'e',1.719248269339505e+18,68033024,1,1,36
'o',1.719248269481092e+18,156761856,1,1,36
'p',1.719248269587582e+18,100872960,1,1,36
'l',1.719248269783714e+18,92328960,1,1,36
'e',1.719248269873774e+18,83505920,1,1,36
Key.space,1.719248269998794e+18,106363904,1,1,36
'a',1.719248270270286e+18,79068928,1,1,36
'n',1.719248270338781e+18,118910976,1,1,36
'd',1.719248270489778e+18,57223168,1,1,36
Key.space,1.71924827059712e+18,100890112,1,1,36
's',1.719248272466837e+18,102416896,1,1,36
'h',1.719248272570944e+18,76318976,1,1,36
'o',1.719248272704484e+18,107738880,1,1,36
'w',1.719248272820568e+18,83693824,1,1,36
Key.space,1.719248272932138e+18,114739968,1,1,36
'o',1.719248273114035e+18,104568064,1,1,36
't',1.719248273295015e+18,36794112,1,1,36
'h',1.719248273351395e+18,84993024,1,1,36
'e',1.719248273463734e+18,129494016,1,1,36
'r',1.719248273555379e+18,100062976,1,1,36
Key.space,1.719248273648503e+18,125249024,1,1,36
'c',1.719248273915288e+18,92019968,1,1,36
'o',1.719248274010253e+18,125742848,1,1,36
'u',1.71924827423442e+18,88576000,1,1,36
'n',1.719248274453832e+18,85300992,1,1,36
't',1.719248274555793e+18,126692096,1,1,36
'r',1.719248274632118e+18,116284928,1,1,36
'i',1.719248274765825e+18,98501888,1,1,36
'e',1.719248274972957e+18,83844096,1,1,36
's',1.71924827516583e+18,72809216,1,1,36
Key.space,1.719248275257702e+18,112494080,1,1,36
'h',1.719248275472453e+18,103437824,1,1,36
'i',1.719248275676398e+18,116972032,1,1,36
's',1.719248275819835e+18,62259200,1,1,36
Key.space,1.719248275953005e+18,103065856,1,1,36
'i',1.719248276127561e+18,102851072,1,1,36
'n',1.719248276280994e+18,119685888,1,1,36
't',1.719248276452967e+18,71070208,1,1,36
'e',1.719248276615561e+18,90855936,1,1,36
'n',1.719248276721503e+18,117327104,1,1,36
't',1.719248276871842e+18,68760064,1,1,36
'i',1.719248276957502e+18,116156928,1,1,36
'o',1.719248277037588e+18,128162048,1,1,36
'n',1.719248277197847e+18,95529984,1,1,36
's',1.719248277294386e+18,83909120,1,1,36
'.',1.719248277774767e+18,70089984,1,1,36
Key.space,1.719248277989838e+18,70626816,1,1,36
Key.shift,1.719248287331779e+18,260047872,1,1,36
'h',1.719248287619949e+18,100630016,1,1,36
'e',1.719248287778161e+18,23176192,1,1,36
Key.backspace,1.719248287978702e+18,106839040,1,1,36
'i',1.719248288404761e+18,66727936,1,1,36
's',1.719248288506376e+18,81627136,1,1,36
Key.space,1.7192482886152e+18,126542080,1,1,36
's',1.719248288740939e+18,64333056,1,1,36
'e',1.719248288923443e+18,72111104,1,1,36
'e',1.719248289073719e+18,94649088,1,1,36
'm',1.719248289223043e+18,112253952,1,1,36
's',1.719248289336342e+18,65188864,1,1,36
Key.space,1.719248289453115e+18,88487168,1,1,36
'l',1.719248289764459e+18,104069888,1,1,36
'i',1.719248289933577e+18,68666112,1,1,36
'k',1.719248290107699e+18,83256064,1,1,36
'e',1.719248290176988e+18,75429120,1,1,36
Key.space,1.719248290292081e+18,110451200,1,1,36
'a',1.719248290440873e+18,95371008,1,1,36
Key.space,1.719248290543341e+18,114174976,1,1,36
'm',1.71924829098095e+18,95460096,1,1,36
'e',1.719248291046206e+18,78428160,1,1,36
'a',1.719248291259908e+18,169186816,1,1,36
's',1.719248291385027e+18,87845888,1,1,36
'u',1.719248291537896e+18,85178112,1,1,36
'r',1.719248291683488e+18,85956096,1,1,36
'e',1.719248291729654e+18,103302912,1,1,36
'd',1.719248291927797e+18,55323904,1,1,36
Key.space,1.719248292036015e+18,108332800,1,1,36
'd',1.719248292563691e+18,127574016,1,1,36
'e',1.719248292684498e+18,82492160,1,1,36
'c',1.719248292903065e+18,74636032,1,1,36
'i',1.71924829304011e+18,94359040,1,1,36
's',1.719248293202014e+18,67617024,1,1,36
'i',1.719248293285873e+18,139046144,1,1,36
'o',1.719248293368473e+18,130459904,1,1,36
'n',1.719248293538835e+18,94329088,1,1,36
